UN_Region,Year,Population,E_Waste_kg_per_capita,Total_E_Waste_metric_tons,Recycling_Rate_percent,Formal_Collection_Rate_percent,Informal_Processing_percent,Hazardous_Content_percent,Landfill_Rate_percent,Export_Rate_percent,E_Waste_Policy_Index,GDP_per_capita_USD,Urbanization_Rate_percent
Eastern Asia,2020,160940859,16.6,2671618.26,68.79,49.65,34.13,27.44,51.27,19.69,0.221,59084.43,89.08
Sub-Saharan Africa,2020,59573347,14.22,847132.99,76.32,60.38,57.4,17.32,47.12,27.53,0.911,72918.71,67.71
Central Asia,2021,10459437,7.19,75203.35,19.61,5.31,67.03,10.73,20.48,33.33,0.545,63928.46,67.97
Latin America and the Caribbean,2021,177868144,16.58,2949053.83,33.01,16.61,20.13,22.51,55.56,10.82,0.979,30161.72,31.84
Oceania,2024,143887835,25.96,3735328.2,29.26,29.23,78.2,14.19,54.33,14.04,0.156,50347.72,34.59
Oceania,2020,246878227,24.57,6065798.04,66.81,20.75,91.18,19.18,62.36,2.28,0.833,14416.24,87.8
Northern America,2021,239936446,15.76,3781398.39,52.12,46.68,27.13,32.62,55.32,6.51,0.285,54941.45,39.96
Sub-Saharan Africa,2022,130170427,15.72,2046279.11,13.35,8.09,62,13,55.85,21.79,0.89,37572.62,21.81
Eastern Asia,2023,161926893,23.89,3868433.47,50.47,43.44,67.39,16.37,19.97,14.45,0.749,908.11,40.71
Latin America and the Caribbean,2021,67902145,24.07,1634404.63,69.56,33.71,98.68,19.68,25.09,20.54,0.828,44444.28,87.13
South-Eastern Asia,2021,166099150,20.73,3443235.38,7.63,6.07,32.98,11.33,57.69,26.48,0.082,2045.01,44.19
Northern Africa,2024,20007205,15.5,310111.68,20.11,3.7,92.24,26.59,24.75,16.66,0.884,42337,84.91
Oceania,2023,99258900,27.26,2705797.61,61.72,11.99,29.12,13.56,55.53,3.96,0.149,60688.32,19.78
Northern America,2022,138291784,19.48,2693923.95,12.33,5.15,38.03,25.02,7.05,34.22,0.831,48257.95,94.19
Southern Asia,2021,12934123,19.27,249240.55,56.34,5.01,30.17,32.96,47.14,17.81,0.145,61252.23,78.03
Europe,2022,80038708,9.07,725951.08,56.58,37.2,51.41,32.26,64.42,6.26,0.124,43029.59,22.02
Oceania,2024,47810559,7.5,358579.19,10.09,3.1,43.1,32.59,49.71,22.34,0.738,54296.24,69.7
Latin America and the Caribbean,2023,193700273,17.65,3418809.82,23.85,8.82,80.17,24.23,39.62,21.13,0.894,22355.28,45.29
Oceania,2024,163081881,19.98,3258375.98,25.78,15.59,2.44,38.83,19.57,16.53,0.362,61339.66,71.52
Europe,2024,170655950,28.05,4786899.4,12.54,4.15,77,22.9,25.59,0.29,0.623,30181.32,65.21
Northern Africa,2022,134472139,26.29,3535272.53,,6.75,27.55,26.98,44,7.35,0.805,66951.59,32.35
South-Eastern Asia,2024,182019087,25.57,4654228.05,26.44,9.87,34.55,23.25,63.15,25.86,0.563,77252.25,42.4
Northern America,2020,64041062,-28.44,1821327.8,24.04,13.05,81.92,29.89,15.64,32.62,0.456,47960.84,73.67
Sub-Saharan Africa,2021,186481025,2.36,440095.22,17.17,6.2,83.97,16.33,44.68,5.38,0.4,29157.5,24.94
Europe,2020,70267722,24.93,1751774.31,46.09,30.67,29.95,31.13,22.13,10.83,0.934,77318.86,65.44
Northern Africa,2020,43584166,12.98,565722.47,,13.07,62.62,16.87,60.55,10.86,0.552,49739.2,56.32
Central Asia,2023,124214350,14.91,1852035.96,50.46,35.73,9.08,15.92,63.78,1.85,0.484,19747.89,92.71
Northern Africa,2023,191592093,6.11,1170627.69,80.95,36.62,18.17,39.42,40.29,4.77,0.767,13570.53,70.54
Latin America and the Caribbean,2022,174063493,14.26,2482145.41,66.1,52.13,84.79,15.15,42.23,0.97,0.93,40070.95,53.54
Eastern Asia,2022,164514199,20.84,3428475.91,33.5,8.73,5.74,17.66,48.42,32.04,0.47,43867.59,94.08
Europe,2021,178490595,6.81,1215520.95,29.48,6.22,62.54,27.05,16.98,15.95,0.38,16798.42,61.75
South-Eastern Asia,2021,31331833,6.86,214936.37,5.55,3.46,77.88,11.03,32.17,4.32,0.497,55712.52,39.69
Latin America and the Caribbean,2023,140933414,27.13,3823523.52,29.4,26.55,18.08,11.26,11.66,28.35,0.724,44683.99,47.52
Sub-Saharan Africa,2024,191035084,23.77,4540903.95,25.14,24.25,20.79,10.03,69.48,17.88,0.91,62023.42,66.68
Central Asia,2021,162158509,14.25,2310758.75,56.07,10.88,36.68,32.6,45.23,8.69,0.309,42964.71,60.51
Northern America,2021,173596258,8.11,1407865.65,31.38,25.17,10.75,28.23,39.66,29.94,0.208,66657.58,88.91
Northern Africa,2020,131272408,23.74,3116406.97,54.9,24.18,37.92,31.94,54.24,30.44,0.418,22317.12,96.15
Oceania,2023,248185438,24.29,6028424.29,48.23,28.98,23.7,23.7,8.99,29.08,0.28,36900.12,45.08
Sub-Saharan Africa,2023,23798141,2.49,59257.37,54.62,43.74,41.79,20.1,19.63,1.46,0.871,15123.69,
Southern Asia,2021,18922210,4.03,76256.51,33.49,14.05,9.59,13.07,28.92,20.61,0.497,4128.28,17.73
Latin America and the Caribbean,2020,26566602,10.27,272839,6.67,6.03,46.78,15.51,44.68,22.45,0.3,52413.88,63.81
Northern Africa,2022,179370910,28.49,5110277.23,44.98,6.4,79.46,37.95,64.68,22.39,0.142,10331.09,74.79
South-Eastern Asia,2024,61358379,22.61,1387312.95,32.65,15.66,12.34,25.51,39.7,28.63,0.568,unknown,57.45
Western Asia,2022,163069019,11.03,1798651.28,27.96,7.36,20.55,24.44,52.18,5.22,0.661,30039.84,71.38
Northern Africa,2021,157542925,20.27,3193395.09,27.8,19.61,90.01,21.5,7.64,3.03,0.718,55418.26,60.21
South-Eastern Asia,2020,67816598,2.16,146483.85,22.76,16.41,33.75,11.62,64.99,29.17,0.053,30788.23,48.75
Eastern Asia,2024,207473696,29.57,6134997.19,34.05,21.23,70.77,35.64,51.76,8.65,0.141,51086.59,78.27
Latin America and the Caribbean,2024,30748560,7.05,216777.35,,4.29,28.05,29.33,61.54,22.89,0.727,22817.49,42.14
Eastern Asia,2020,137677072,5.53,761354.21,12.4,10.53,79.66,24.53,16.49,7.93,0.864,,58.79
Central Asia,2022,62769989,29.23,1834766.78,62.82,35.68,27.38,33.36,20.44,31.14,0.2,,34.8
Oceania,2024,232650740,29.45,6851564.29,15.65,13.2,14.93,17.54,47.99,8.74,0.434,unknown,52.24
Central Asia,2021,35957716,2.44,87736.83,24.46,7.72,77.39,33.59,66.39,28.89,0.199,29997.54,78.48
Central Asia,2024,109461450,8.03,878975.44,5.46,4.92,85.3,28.73,36.92,19.18,0.834,7214.37,
Northern Africa,2021,205927292,14.51,2988005.01,49.21,14.88,58.36,30.04,39.08,17.86,0.645,,93.2
Western Asia,2021,151492281,14.68,2223906.69,60.42,13.66,82.88,35.19,67.27,24.17,0.341,4060.28,55.26
South-Eastern Asia,2023,127537930,3.53,450208.89,64,9.02,69.2,33.04,43.81,1.23,0.715,,37.71
Latin America and the Caribbean,2021,181812332,20.66,3756242.78,27.23,20.06,76.95,38.09,44.82,21.08,0.036,19393.06,82.44
Sub Saharan Africa,2024,176752012,14.71,2600022.1,76.65,20.72,48.31,19.24,24.54,21.31,0.273,34794.82,62.41
Northern America,2023,218821592,9.06,1982523.62,83.22,13.88,68.41,38.42,17.71,29.37,0.863,63386,25.43
South-Eastern Asia,2024,169544457,16.08,2726274.87,64.04,54.82,59.24,35.77,29.47,23.45,0.097,20278.8,79.67
South-Eastern Asia,2024,241242867,18.11,4368908.32,49.37,38.89,85.74,17.62,10.48,10.31,0.668,20332.69,81
Oceania,2020,24135140,24.22,584553.09,42.84,25.15,63.15,21.08,10.58,5.31,0.099,2273.79,26.79
Europe ,2023,178535764,2.83,505256.21,48.43,34.36,74.68,25.16,35.53,13.89,0.36,44170.03,87.09
Western Asia,2021,185356315,10.96,2031505.21,78.14,57.41,96.98,16.64,34.58,9.01,0,12521.81,33.27
South-Eastern Asia,2022,123045127,2.18,268238.38,74.12,7.48,61.06,12.2,15.59,21.24,0.467,65492.34,58.76
Southern Asia,2024,113094833,21.97,2484693.48,70.36,39.54,69.04,32.64,33.45,0.84,0.888,53158.67,57.94
Latin America and the Caribbean,2022,58064483,13.99,812322.12,65.45,46.91,67.07,33.63,23.46,3.76,0.573,44655.56,97.51
Eastern Asia,2020,130759133,24.48,3200983.58,70.49,57.91,73.51,21.17,17.68,0.62,0.93,,59.87
Northern America,2021,206699701,28.68,5928147.42,,4.85,97.76,25.08,22.66,25.49,0.47,28613.87,34.59
Southern Asia,2020,93583051,12.51,1170723.97,51.64,15.82,29.54,25.88,50.88,9.45,0.685,26915.98,37.52
Western Asia,2024,202258131,13.72,2774981.56,150,8.1,48.74,15.38,49.48,8.75,0.2,38983.75,62.74
Northern Africa,2024,183979389,9.12,1677892.03,15.93,8.07,19.36,35.56,32.62,1.16,0.776,55231.22,24.85
Southern Asia,2023,46004373,21.89,1007035.72,48.83,35.52,78.48,22.81,36.73,34.07,0.978,12943.71,58.47
Latin America and the Caribbean,2022,2448137,12.59,30822.04,50.65,46.16,14.47,16.23,48.54,30.2,0.364,,85.7
Northern America,2020,184586579,11.19,2065523.82,50.31,47.72,72.15,16.96,20.49,11.63,0.364,29830.84,61.07
South-Eastern Asia,2020,243191036,29.88,7266548.16,17.2,15.3,63.5,17.38,18.95,27.38,0.396,59614.15,51.75
Northern America,2023,203419768,5.22,1061851.19,43.08,23.82,47.08,18.51,62.14,18.91,0.636,35482.84,74.38
Western Asia,2021,134327231,11.58,1555509.33,31,19.95,67.91,24.15,68.11,34.75,0.91,53418.9,81.2
Southern Asia,2022,59389717,3.28,194798.27,78.17,38.21,8.06,24.08,56.27,14.54,0.685,14265.88,81.24
Central Asia,2023,225330254,19.29,4346620.6,71.81,24.74,14.14,37.33,14.2,18.13,0.89,19015.13,95.86
Western Asia,2022,1765577,16.4,28955.46,22.8,17.51,22.28,20.35,29.26,27.9,0.66,73672.66,54.4
Sub Saharan Africa,2022,234297898,18.92,4432916.23,77.91,8.17,81.62,35.95,23.16,0.98,0.314,66217.62,40.37
South-Eastern Asia,2022,16652553,20.07,334216.74,61.13,39.4,58.77,11.06,59.74,31.03,0.325,65111.77,94.62
Southern Asia,2021,219720405,9.72,2135682.34,83.46,5.43,70.76,11.75,23.42,18.97,0.908,7845.82,66.85
Latin America and the Caribbean,2021,194882685,2.54,495002.02,22.08,10.75,45.69,14.23,65.97,11.83,0.83,66166.83,
Oceania,2023,49329974,11.01,543123.01,16.7,8.39,15.51,12.24,15.72,9.09,0.422,17728.32,53.79
Northern Africa,2023,130566663,12.29,1604664.29,11.39,5.26,79.29,28.52,17.09,29.55,0.448,12251.42,96.13
Eastern Asia,2024,60020680,11.62,697440.3,37.03,27.64,8.25,17.42,51.43,16.78,0.607,26890.54,35.99
Oceania,2020,153479167,4.14,635403.75,73.17,47.42,81.82,29.84,61.83,2.34,0.294,37057.75,33.52
South-Eastern Asia,2024,N/A,10.63,2591378.82,64.67,63.66,49.43,27.23,52.52,0.18,0.318,68094.88,35.08
South-Eastern Asia,2024,210614260,15.52,3268733.32,6.88,3.3,91.89,22.47,33.31,33.14,0.692,34336.42,81.35
Central Asia,2020,44863988,10.33,463445,27.64,14.11,10.29,19.43,54.97,18.02,0.603,30606.63,82.25
Oceania,2024,128587426,11.47,1474897.78,41.46,23.57,48.87,27.12,25.72,1.4,0.334,74071.65,72.75
Northern America,2024,1025060,7.96,8159.48,36.1,7.16,46.81,11.58,15.39,19.92,0.194,2260.63,94.2
Northern Africa,2024,164717802,3.98,655576.85,78.17,22.57,15.5,34.57,66.21,21.65,0.465,,46.48
Europe,2020,220826834,11.68,2579257.42,57.7,39.51,47.09,25.48,36.28,2.84,0.37,57902.5,24.31
Latin America and the Caribbean,2022,8764060,24.27,212703.74,81.34,37.13,52.15,23.69,15.13,17.54,0.549,65995.83,60.82
Oceania,2023,157104807,20.16,3167232.91,55.3,21.43,67.75,14.84,48.48,33.35,0.647,32800.09,24.55
Central Asia,2020,93526291,26.29,2458806.19,5.65,3.17,12.05,31.02,5.01,27.87,0.211,52861.76,31.97
South-Eastern Asia,2023,87441692,11.81,1032686.38,72.21,9.73,76.3,25.7,55.51,24.19,0.434,35119.37,20.55
South-Eastern Asia,2024,202610594,20.54,4161621.6,68.16,21.52,5.03,16.34,8.31,5.75,0.945,11261.29,32.81
Latin America and the Caribbean,2021,136956240,-28.61,3918318.03,,13.63,68.32,13.08,32.16,18.85,0.884,53478.28,53.38
Sub-Saharan Africa,2023,203018933,21.17,4297910.81,84.17,26.38,60.07,34.69,43.42,18.57,0.215,,46.56
Europe,2024,213780639,5.88,1257030.16,80.36,74.67,72.87,38.93,59.79,23.11,0.398,30708.83,31.56
Central Asia,2024,210259070,2.03,426825.91,6.83,4.15,85.45,25.3,5.85,30.68,0.654,23947.35,93.77
Europe,2023,3826510,26.11,99910.18,62.38,28.18,5.39,23.22,29.26,25.2,0.301,46125.13,94.8
Central Asia,2023,120571937,26.29,3169836.22,59.07,8.5,54.35,15.7,31.85,16.42,0.289,,30.13
Sub-Saharan Africa,2021,204546757,14.62,2990473.59,21.5,9.43,43.58,24.8,59.21,8.12,0.949,44521.91,
Sub-Saharan Africa,2023,239201248,28.4,6793315.44,50.05,24.39,17.12,12.28,49.22,4.9,0.871,28741.14,26.98
Western Asia,2024,161141380,24.14,3889952.91,72.41,8.28,66.44,19.86,6.53,20.15,0.055,67432.53,48.78
Southern Asia,2024,188066078,13.89,2612237.82,18.65,12.14,33.15,32.08,35.19,11.26,0.522,44958.27,41.72
Sub-Saharan Africa,2022,205121927,19.35,3969109.29,49.87,17.71,83.69,20.76,54.26,21.44,0.115,34953.84,41.14
Central Asia,2022,144496665,14.34,2072082.18,38.8,6.86,89.05,29.97,25.16,24.94,0.2,54547.26,42.44
South-Eastern Asia,2021,57322730,7.16,410430.75,58.34,42.4,3,33.25,37.88,12.3,0.798,18535.85,51.74
Latin America and the Caribbean,2022,124911858,20.45,2554447.5,16.4,8.12,36.3,34.85,57.85,6.15,0.325,79730.86,97.29
Central Asia,2020,N/A,15,2972458.79,14.61,6.98,3.01,29.53,65.15,25.28,0.893,44286.56,43.06
Western Asia,2022,99737445,21.49,2143357.69,,21.29,68.03,34.36,22.84,25.66,0.384,10173.18,18.91
Latin America and the Caribbean,2024,159957592,12.9,2063452.94,150,65.9,73.31,19.92,58.95,10.08,0.064,43134.05,36.47
Northern Africa,2023,39419710,6.83,269236.62,72.85,51.02,31.14,19.11,34.12,7.16,0.239,55208.64,71.42
Northern America,2022,43635912,3.49,152289.33,16.6,8.79,3.15,22.87,46.12,20.4,0.064,37026.06,41.18
Eastern Asia,2021,190436425,6.72,1279732.78,56.13,4.91,14.05,20.82,33.22,31.02,0.472,33971.79,56.83
Eastern Asia,2021,66569333,17.9,1191591.06,70.63,56.44,27.38,29.7,61.59,21.26,0.255,49414.22,81.73
Western Asia,2023,172226927,17.68,3044972.07,17.04,10.82,96.99,29.7,45.36,4.47,0.327,31907.87,95.6
Europe,2020,144834588,21.63,3132772.14,16.2,15.33,84.12,21.82,9.41,16.4,0.897,66901.35,79.4
Western Asia,2020,23064063,9.87,227642.3,55.37,43.01,79.12,21.3,7.14,30.64,0.452,5286.44,
Western Asia,2020,159755951,9.88,1578388.8,29.95,11.04,23.53,21.16,64.4,28.43,0.02,74160.26,47.34
Sub-Saharan Africa,2023,45383491,-5.94,269577.94,62.13,61.57,88.31,19.39,28.54,19.03,0.268,15340.79,21.19
Western Asia,2020,239648343,27.34,6551985.7,,10.9,6.52,25.49,38.96,24.58,0.793,21957.05,96.1
Northern Africa,2021,204289170,6.2,1266592.85,79.32,69.85,79.09,38.83,46.73,24.29,0.222,79982.09,25.64
Western Asia,2022,116502322,13.47,1569286.28,33.88,33.7,67.63,27.83,55.79,14.6,0.456,26663.5,65.56
South-Eastern Asia,2020,199749239,27.15,5423191.84,40.41,15,61.03,23.21,69.6,32.15,0.126,65379.18,33.21
Sub-Saharan Africa,2024,209102304,11.88,2484135.37,,5.85,36.48,26.73,34.31,17.42,0.445,44356.67,82.19
Central Asia,2022,160208094,3.52,563932.49,33.83,10.63,19.99,14.01,38.12,24.25,0.459,75952.09,58.59
Oceania,2020,143593621,13.48,1935642.01,42.77,19.85,49.12,23.49,6.38,1.09,0.922,2346.41,31.47
Central Asia,2021,137064106,10.06,1378864.91,8.1,6.09,46.7,13.92,34.19,33.96,0.073,76197.15,39.07
Latin America and the Caribbean,2024,247368784,23.72,5867587.56,31.51,13.7,17.25,20.92,54.13,21.9,0.889,11217.42,44.52
Europe,2024,45681879,9.31,425298.29,35.44,20.1,17.36,33.65,11.65,16.78,0.827,45444.51,77.31
Latin America and the Caribbean,2021,121500986,5.37,652460.29,150,65.73,20.75,32.64,45.16,4.92,0.797,13531.24,38.05
Northern Africa,2024,208114156,3.38,703425.85,60.79,40.72,86.9,25.89,34.49,27.13,0.475,46079.08,27.27
South-Eastern Asia,2023,240381512,6.16,1480750.11,14.34,3.91,67.56,16.68,24.72,19.73,0.442,66989.23,46.58
Central Asia,2022,162565718,5.12,832336.48,51.87,35.16,98.89,18.73,25.07,23.64,0.503,43819.75,30.76
Latin America and the Caribbean,2020,222805536,14.8,3297521.93,47.74,23.88,58.47,24.31,11.77,13.81,0.711,40194.4,42.85
Sub-Saharan Africa,2024,68320039,23.87,1630799.33,34.56,27.68,93.47,15.45,40.19,15.85,0.103,63010.71,92.2
Western Asia,2020,84294230,13.1,1104254.41,62.69,32.54,27.1,39.14,47.04,12.24,0.287,46803.64,53.43
Southern Asia,2023,152023312,26.83,4078785.46,58.64,39.46,81.02,25.06,61.26,9.81,0.77,10734.12,58.61
Europe ,2021,75454935,9.59,723612.83,80.61,69.28,70.27,10.96,7.32,30.82,0.013,52532.01,86.44
Southern Asia,2022,169195572,3.31,560037.34,150,21.06,73.51,36.03,11.05,4.48,0.449,38175.5,35.41
Europe,2023,135799442,26.5,3598685.21,73.97,28.04,32.62,17.45,41.17,6.09,0.94,,87.21
Northern Africa,2024,11402820,29.1,331822.06,13.4,3.93,96.41,37.5,8.89,6.4,0.279,48984.58,60.29
Northern Africa,2022,37053376,13.46,498738.44,67.84,7.03,88.85,15.66,30.31,31.68,0.256,1690.01,81.12
Eastern Asia,2023,91591520,3.53,323318.07,17.36,9.36,8.38,25.74,34.03,15.26,0.008,28840.04,87.02
Oceania,2024,80593360,7.29,587525.59,,59.11,39.05,31.44,12.26,5.78,0.563,75319.67,87.69
Northern America,2024,82559679,25.66,2118481.36,30.5,23.57,81.47,24.92,40.83,22.29,0.536,42335.59,50.05
Europe,2022,135108096,8.36,1129503.68,32.72,13.66,49.1,10.02,18.9,9.87,0.014,30420.53,31.98
Oceania,2022,154748284,4.62,714937.07,18.81,10.78,9.97,39.14,24.44,14.25,0.171,73616.06,
Northern America,2022,224233893,24.18,5421975.53,29.02,18.81,22.89,18.6,62.97,8.52,0.595,unknown,66.89
Latin America and the Caribbean,2023,229455991,3.51,805390.53,25.25,15.33,53.44,30.84,64.76,8.12,0.486,64708.1,58.02
Europe ,2021,187749525,29.13,5469143.66,16.49,5.45,33.48,19.01,28.3,5.11,0.268,37163.22,38.26
Northern Africa,2023,92514237,19.62,1815129.33,37.47,20.48,95,14.29,51.92,20.62,0.909,38038.96,51.69
South-Eastern Asia,2020,119656589,17.31,2071255.56,58.66,13.24,77.14,13.39,6.01,1.22,0.519,23235.66,30.99
Latin America and the Caribbean,2022,11529940,8.31,95813.8,9.07,5.79,49.25,29.49,47.52,28.65,0.3,34869.51,56.21
Europe,2022,59738628,10.37,619489.57,15.51,11.03,54.3,13.95,36.19,22.9,0.946,44994.41,86.4
Europe ,2021,49908576,7.18,358343.58,75.44,69.07,20.84,30.21,63.31,3.83,0.571,46636.8,32.12
Northern America,2024,213779765,13.73,2935196.17,25.83,11.41,64.57,39.13,38.97,30.01,0.258,74568.61,62.24
Europe,2021,73592484,14.98,1102415.41,63.5,25.66,14.26,24.76,8.08,11.43,0.042,32983.66,90.44
Eastern Asia,2021,1601495,23.84,38179.64,36.27,25.5,39.33,34.54,38.54,15.86,0.096,12317.56,71.75
Northern Africa,2020,89322280,7.01,626149.18,12.46,11.95,54.87,13.22,41.39,12.55,0.802,34736.03,35.59
Eastern Asia,2022,12714006,28.1,357263.57,46.11,45.46,8.33,35.48,26.68,9.04,0.443,47788.96,91.31
Latin America and the Caribbean,2023,143147398,27.3,3907923.97,68.76,62.33,4.74,14.6,22.81,34.14,0.568,37175.46,58.25
South-Eastern Asia,2022,122925952,5.95,731409.41,71.32,11.87,99.77,26.73,63.6,8.39,0.963,64571.07,71.51
Northern Africa,2024,33384610,19.88,663686.05,60.49,5.2,55.08,32.31,42.42,31.14,0.418,5016.04,67.76
Eastern Asia,2023,70453597,7.11,500925.07,78.24,36.51,68.93,13.59,13.24,32.79,0.702,49511.22,82.49
Northern America,2023,236436089,27.78,6568194.55,71.28,15.94,41.41,25.51,64.83,21.64,0.942,45427.43,97.29
Europe,2022,93933365,16.59,1558354.53,12.47,6.26,8.3,30.19,29.65,12.47,0.738,69242.02,61.71
Latin America and the Caribbean,2022,168809390,12.25,2067915.03,83.63,62.92,98.69,39.95,51.13,25,0.453,,49.83
Eastern Asia,2024,N/A,17.02,2462134.87,20.33,15.94,2.11,20.3,40.1,23.66,0.156,19917.77,27.38
Northern Africa,2021,243511374,26.78,6521234.6,37.73,11.55,83.89,14.95,45.64,29.21,0.226,62649.37,35.4
Northern America,2021,75110544,19.95,1498455.35,58.05,4.11,13.35,10.88,27.61,26.59,0.808,8064.82,84.46
Sub Saharan Africa,2024,28507546,20.56,586115.15,83.18,15.18,24.17,31.8,65.81,19.05,0.5,52646.71,35.13
Eastern Asia,2024,30533454,28.85,880890.15,76.4,54.88,59.57,30.64,9.15,2.75,0.862,67428.85,71.65
Europe ,2023,85779134,13.88,1190614.38,52.34,50.12,43.9,32.29,34.92,2.38,0,78673.79,95.65
Eastern Asia,2020,47976644,4.11,197184.01,69.55,56.13,67.99,21.4,62.9,15.29,0.066,36406.61,74.53
Oceania,2023,12417102,10.02,124419.36,34.69,7.31,96.48,20.99,51.89,3.75,0.213,69230.13,97.72
Western Asia,2022,108734473,25.08,2727060.58,61.15,12.21,12.44,20.6,30.17,25.37,0.516,33436.32,63.93
Southern Asia,2024,111370854,27.81,3097223.45,28.17,15.54,71.24,14.88,10.37,33.34,0.47,57012.3,38.64
Northern Africa,2021,104102135,12.86,1338753.46,30.18,3.78,72.51,20.23,19.48,6.18,0.39,56303.87,64.88
Eastern Asia,2022,246714422,14.85,3663709.17,62.17,14.32,84.19,34.76,50.47,6.6,0.121,29505.83,79.87
Northern Africa,2021,80472794,12.24,984987,39.59,16.2,3.7,15.98,34.57,0.12,0.429,69605.58,81.32
Northern Africa,2022,141142432,20.18,2848254.28,150,8.95,77.95,21.81,62.15,22.2,0.899,3513.28,23.06
Sub-Saharan Africa,2020,61456614,21.07,1294890.86,25.67,10.96,29.8,40,46.75,17.68,0.667,13137.5,82.34
Latin America and the Caribbean,2024,14854699,26.51,393798.07,31.44,9.67,18.57,21.39,33.08,1.42,0.773,44360.12,33.43
Southern Asia,2021,222299189,15.91,3536780.1,81.74,59.89,24.66,22.06,8.44,26.98,0.032,45660.96,36.58
South-Eastern Asia,2022,164716264,26.24,4322154.77,52.85,24.29,49.19,22.59,61.84,31.22,0.916,21008.66,75.46
South-Eastern Asia,2023,26112387,18.15,473939.82,6.78,6.23,56.36,28.44,12.23,15.51,0.537,21956.95,
Western Asia,2020,60787111,27.37,1663743.23,66.97,64.79,2.69,21.96,68.08,13.57,0.049,65275.99,27.31
Sub Saharan Africa,2022,44114730,21.29,939202.6,84.62,63.47,74.42,39.33,10.92,11.92,0.956,29447.2,58.51
Northern America,2023,2629008,11.53,30312.46,60.9,53.38,32.86,36.11,55.74,2.95,0.466,72226.01,92.34
Europe,2023,185032459,3.67,679069.12,53.64,36.89,54.09,13.92,52.1,29.32,0.756,35058.18,36.52
Europe,2021,69784933,11.55,806015.98,75.02,74.55,65.16,36.08,62.66,11.01,0.911,63392,19.49
Northern Africa,2021,155059539,19.38,3005053.87,62.83,39.54,78.84,14.3,64.18,17.26,0.453,,45.9
Sub-Saharan Africa,2024,94930988,22.53,2138795.16,25.69,10.86,32.44,18.81,61.05,5.61,0.874,44402.36,61.61
South-Eastern Asia,2022,76824179,25.53,1961321.29,80.24,55.81,85.34,11.97,25.48,28.55,0.918,76671.19,57.85
Eastern Asia,2020,208930184,29.27,6115386.49,48.05,6.97,10.86,19.22,53.69,8.05,0.083,60175.6,20.43
Sub Saharan Africa,2022,115869459,13.96,1617537.65,51.4,9.7,1.53,16.2,10.57,1.75,0.79,55804.38,57.12
Northern Africa,2021,2769183,12.74,35279.39,63.11,45.02,39.24,35.59,30.23,14.48,0.984,1055.35,
Northern America,2022,237500743,4.24,1007003.15,,32.33,78.36,29.23,43.17,22.46,0.154,59929.53,86.03
Northern Africa,2022,246685222,2.15,530373.23,10.2,8.7,17.61,17.36,54.91,32.8,0.57,826.71,23.01
Western Asia,2022,36784577,12.01,441782.77,11.9,10.86,0.35,15.52,20.63,24.44,0.853,66548.74,30.48
Northern America,2023,112472046,16.32,1835543.79,45.05,14.68,56.44,15.03,59.52,18.98,0.569,79081.69,63.09
Central Asia,2023,136451469,20.2,2756319.67,11.94,7.57,80.69,31.33,54.69,6.93,0.393,62989.58,23.01
Central Asia,2024,200156956,27.33,5470289.61,69.7,48.09,42.22,35.94,48.2,16.44,0.877,47050.95,15.34
South-Eastern Asia,2023,34223043,21.45,734084.27,9.36,9.03,47.69,36.33,15.7,21.61,0.558,70109.31,93.96
Latin America and the Caribbean,2024,103603049,16.17,1675261.3,22.5,11.38,75.51,27.97,63.55,7.47,0.999,55047.07,90.68
Latin America and the Caribbean,2021,10903567,9.54,104020.03,9.03,7.94,74.41,12.53,21.65,33.3,0.721,70426.88,27.43
Sub-Saharan Africa,2023,145365846,14.77,2147053.55,20.13,13.02,55.31,27.41,23.5,2.64,0.126,63453.03,64.69
Northern America,2023,192705120,5.48,1056024.06,47.73,18.33,56.61,16.3,13.37,24.59,0.975,38300.29,52.82
Sub-Saharan Africa,2021,59944087,6.56,393233.21,63.89,59.81,22.38,37.59,7.08,23.2,0.603,31486.71,42.33
Southern Asia,2024,102332708,3.57,365327.77,79.25,54.82,7.55,31.63,53.14,16.37,0.226,40130.58,88.85
Central Asia,2020,162760785,14.44,2350265.74,79.77,79.31,11.08,21.39,48.33,12.07,0.812,50079.64,51.19
Eastern Asia,2022,29127193,15.65,455840.57,5.73,3.22,85.66,10.57,31.91,7.75,0.021,65715.7,40.14
Sub-Saharan Africa,2021,44695960,9.01,402710.6,81.1,46.64,45.84,24.44,66.15,29.55,0.418,19483.3,71.08
Northern America,2024,96096952,8.17,785112.1,,9.17,71.07,18.07,68.78,31.43,0.607,5689.68,62.24
Europe ,2020,25120383,18.74,470755.98,22.32,6.5,83.64,26.46,20.52,18.19,0.149,1631.82,
Northern America,2021,20332897,6.94,141110.31,33.47,19.36,92.63,37.86,14.43,17.01,0.802,53169.88,81.13
Southern Asia,2020,34304233,16.53,567048.97,33.16,20.66,36.61,15.95,29.47,19.86,0.352,60333.2,75.94
Western Asia,2020,91755666,4.45,408312.71,14.99,10.29,99.65,15.92,30.44,12.15,0.747,5150.51,57.46
Oceania,2020,233118007,20.11,4688003.12,14.89,14.47,36.48,14.39,60.79,16.98,0.634,66126.16,78.22
South-Eastern Asia,2024,198095882,24.79,4910796.91,9.02,4.42,24.14,16.59,50.38,29.48,0.128,,85.54
